contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100736022,11007360221000,1,  478.00,20130825,TUITION,0
1100736022,11007360221100,1, 1208.00,20130924,TUITION,0
1100736621,11007366211000,1,  800.00,20130521,TUITION,0
1100736621,11007366211100,1,  795.00,20130620,TUITION,0
1100736621,11007366211200,1,  795.00,20130720,TUITION,0
1100736822,11007368221000,1, 2088.00,20131123,TUITION,0
1100737321,11007373211000,1,  640.00,20130606,TUITION,0
1100737321,11007373211100,1,  635.00,20130705,TUITION,0
1100737321,11007373211200,1,  635.00,20130805,TUITION,0
1100738921,11007389211000,1,  289.00,20130709,TUITION,0
1100738921,11007389211100,1,  239.00,20130805,TUITION,0
1100738921,11007389211200,1,  239.00,20130905,TUITION,0
1100738921,11007389211300,1,  239.00,20131005,TUITION,0
1100738921,11007389211400,1,  239.00,20131105,TUITION,0
1100738921,11007389211500,1,  239.00,20131205,TUITION,0
1100738921,11007389211600,1,  239.00,20140105,TUITION,0
1100738921,11007389211700,1,  239.00,20140205,TUITION,0
1100738921,11007389211800,1,  239.00,20140305,TUITION,0
1100738921,11007389211900,1,  239.00,20140405,TUITION,0
1100738921,11007389212000,1,  239.00,20140505,TUITION,0
1100738921,11007389212100,1,  239.00,20140605,TUITION,0
1100739221,11007392211000,1,  249.00,20130717,TUITION,0
1100739221,11007392211100,1,  239.00,20130920,TUITION,0
1100739221,11007392211200,1,  239.00,20131020,TUITION,0
1100739221,11007392211300,1,  239.00,20131120,TUITION,0
1100739221,11007392211400,1,  239.00,20131220,TUITION,0
1100739221,11007392211500,1,  239.00,20140120,TUITION,0
1100739221,11007392211600,1,  239.00,20140220,TUITION,0
1100739221,11007392211700,1,  239.00,20140320,TUITION,0
1100739221,11007392211800,1,  239.00,20140420,TUITION,0
1100739221,11007392211900,1,  239.00,20140520,TUITION,0
1100739221,11007392212000,1,  239.00,20140620,TUITION,0
1100739321,11007393211000,1, 1910.00,20130726,TUITION,0
1100740021,11007400211000,1,  149.00,20130820,TUITION,0
1100740021,11007400211100,1,  239.00,20130920,TUITION,0
1100740021,11007400211200,1,  239.00,20131020,TUITION,0
1100740021,11007400211300,1,  239.00,20131120,TUITION,0
1100740021,11007400211400,1,  239.00,20131220,TUITION,0
1100740021,11007400211500,1,  239.00,20140120,TUITION,0
1100740021,11007400211600,1,  239.00,20140220,TUITION,0
1100740021,11007400211700,1,  239.00,20140320,TUITION,0
1100740021,11007400211800,1,  239.00,20140420,TUITION,0
1100740021,11007400211900,1,  239.00,20140520,TUITION,0
1100740021,11007400212000,1,  239.00,20140620,TUITION,0
1100740021,11007400212100,1,  239.00,20140720,TUITION,0
1100740421,11007404211000,1,  149.00,20130829,TUITION,0
1100740421,11007404211100,1,  239.00,20131005,TUITION,0
1100740421,11007404211200,1,  239.00,20131105,TUITION,0
1100740421,11007404211300,1,  239.00,20131205,TUITION,0
